code,tobe,in,missing,provider,brand,name,description,appliance,classification,storage,price
KWT359-01,2,2,0,MAF,MAF,MUELLE MAESTRA,29*29*3*1,,MUEL,CONSIGNACION,
KWT912-01,1,1,0,MAF,MAF,MUELLE MAESTRA,30 1/2*30 1/2*4*1,,MUEL,CONSIGNACION,
KWT912-03,1,1,0,MAF,MAF,MUELLE TERCERA,23 1/16*23 1/16*4*788,,MUEL,CONSIGNACION,
MAF15773,2,2,0,MAF,MAF,SOPORTE DE CARGA,ALETA DE TIBURON,FREIGHTLINER,SOPU,CONSIGNACION,
MBD1218L-01,1,1,0,MAF,MAF,MUELLE MAESTRA,28*33 1/2*4*447,,MUEL,CONSIGNACION,
MBD1218L-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,28*34 3/4*4*447,,MUEL,CONSIGNACION,
MBD1218L-03,1,1,0,MAF,MAF,MUELLE TERCERA,22 1/2*27 1/2*4*447,,MUEL,CONSIGNACION,
MBD1218L-03R,1,1,0,MAF,MAF,MUELLE TERCERA REF,26*31*4*447,,MUEL,CONSIGNACION,
MBD1218L-04,1,2,-1,MAF,MAF,MUELLE CUARTA,17 1/2*21*4*447,,MUEL,CONSIGNACION,
MBD1218LBM-01,1,1,0,MAF,MAF,MUELLE MAESTRA,28*33 1/2*4*447,,MUEL,CONSIGNACION,
MBD1218LM-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,28*38*4*447,,MUEL,CONSIGNACION,
MBT1217-13,1,1,0,MAF,MAF,MUELLE TIRANTE,35*4*3*1/2,,MUEL,CONSIGNACION,
MBT1218L-01,1,1,0,MAF,MAF,MUELLE MAESTRA,39*39*3*1/2,,MUEL,CONSIGNACION,
MBT1218L-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,38 1/2 *38 1/2*3*1/2,,MUEL,CONSIGNACION,
MBT1218L-03,1,1,0,MAF,MAF,MUELLE TERCERA,32*32*3*625,,MUEL,CONSIGNACION,
MBT1218L-04,1,1,0,MAF,MAF,MUELLE CUARTA,27 1/2*27 1/2*3*625,,MUEL,CONSIGNACION,
MBT1218L-05,1,1,0,MAF,MAF,MUELLE QUINTA,23 1/2*23 1/2*3*625,,MUEL,CONSIGNACION,
MBT1218L-07,1,1,0,MAF,MAF,MUELLE SEPTIMA,16*16*3*625,,MUEL,CONSIGNACION,
MBT1423L-10,1,1,0,MAF,MAF,MUELLE TIRANTE,35*4*3*1/2,,MUEL,CONSIGNACION,
MC50-389,1,1,0,DIREGO,MC,MUELLE ZETA,,HENDRICKSON,MUEL,CONSIGNACION,
MC55-1195,1,1,0,DIREGO,MC,MUELLE ZETA,,NAVISTAR,MUEL,CONSIGNACION,
OST128-12,1,1,0,MAF,MAF,MUELLE TIRANTE,27*3 1/2*3*1/2,,MUEL,CONSIGNACION,
QTR224,2,2,0,MAF,MAF,PEINE 4 HOJAS,"13 5/32*13 5/32*1/34*,360",CARRITO ELECTRICO,MUEL,CONSIGNACION,
R001,4,4,0,MAF,MAF,RONDANA DE ALINEACION,EXENTRICA,SUSPENSION HT300,PYSF,CONSIGNACION,
R002,4,4,0,MAF,MAF,RONDANA DE ALINEACION,CENTRICAS,SUSPENSION HT300,PYSF,CONSIGNACION,
S9-617,0,8,-8,STHEBSON,STHEBSON,GRANADA ESPACIAL,BARRA TORSION,,GRAN,PROPIO,
TA461211,1,1,0,DIREGO,MC,PALO DE HOCKEY IZQ,,,MUEL,CONSIGNACION,
TA461213,1,1,0,DIREGO,MC,PALO DE HOCKEY DER,,,MUEL,CONSIGNACION,
TRA2726-01,1,1,0,MAF,MAF,MUELLE MAESTRA,23 7/16*22 1/4*3*788,,MUEL,CONSIGNACION,
TRA2727,2,2,0,MAF,MAF,PEINE 3 HOJAS,22 3/4*21 1/2*3*788,,MUEL,CONSIGNACION,
TRA2727-01,1,1,0,MAF,MAF,MUELLE MAESTRA,22 3/4*21 1/2*3*788,,MUEL,CONSIGNACION,
TRA2727-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,BRIO MEDIO,,MUPA,CONSIGNACION,
TRA2727-P,2,2,0,DIREGO,MC,PEINE 3 HOJAS,BRIO MEDIO,,MUPA,CONSIGNACION,
TRA2728-01,1,1,0,MAF,MAF,MUELLE MAESTRA,22 3/4*21 1/2*3*788,,MUEL,CONSIGNACION,
VOT547-OP,1,1,0,MAF,MAF,MUELLE TIRANTE,24*4*3*662,,MUEL,CONSIGNACION,
